SERVICE_TYPE,USAGE_DATE,CREDITS_USED_COMPUTE,CREDITS_USED_CLOUD_SERVICES,CREDITS_USED,CREDITS_ADJUSTMENT_CLOUD_SERVICES,CREDITS_BILLED
TRUST_CENTER,2026-07-02,0.932619446,0.000000000,0.932619446,0.0000000000,0.9326194460
WAREHOUSE_METERING,2026-07-02,72.182499958,2.365480089,74.547980047,-2.3654800890,72.1824999580
AI_FUNCTIONS,2026-07-03,0.012569400,0.000000000,0.012569400,0.0000000000,0.0125694000
AUTO_CLUSTERING,2026-07-03,0.001382497,0.000000000,0.001382497,0.0000000000,0.0013824970
CORTEX_AGENTS,2026-07-03,0.732691540,0.000000000,0.732691540,0.0000000000,0.7326915400
PIPE,2026-07-03,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-03,2.866863850,0.000000000,2.866863850,0.0000000000,2.8668638500
SNOWFLAKE_COWORK,2026-07-03,1.498172530,0.000000000,1.498172530,0.0000000000,1.4981725300
TELEMETRY_DATA_INGEST,2026-07-03,0.000401263,0.000000000,0.000401263,0.0000000000,0.0004012630
TRUST_CENTER,2026-07-03,1.029084744,0.000000000,1.029084744,0.0000000000,1.0290847440
WAREHOUSE_METERING,2026-07-03,63.529999970,2.283478453,65.813478423,-2.2834784530,63.5299999700
AUTO_CLUSTERING,2026-07-04,0.000103056,0.000000000,0.000103056,0.0000000000,0.0001030560
TRUST_CENTER,2026-07-04,1.035461324,0.000000000,1.035461324,0.0000000000,1.0354613240
WAREHOUSE_METERING,2026-07-04,51.531666641,1.979290318,53.510956959,-1.9792903180,51.5316666410
PIPE,2026-07-05,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
TELEMETRY_DATA_INGEST,2026-07-05,0.000000045,0.000000000,0.000000045,0.0000000000,0.0000000450
TRUST_CENTER,2026-07-05,1.013893108,0.000000000,1.013893108,0.0000000000,1.0138931080
WAREHOUSE_METERING,2026-07-05,52.138333304,2.082131765,54.220465069,-2.0821317650,52.1383333040
AUTO_CLUSTERING,2026-07-06,0.001050886,0.000000000,0.001050886,0.0000000000,0.0010508860
CORTEX_AGENTS,2026-07-06,0.218210690,0.000000000,0.218210690,0.0000000000,0.2182106900
PIPE,2026-07-06,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-06,3.034986020,0.000000000,3.034986020,0.0000000000,3.0349860200
TELEMETRY_DATA_INGEST,2026-07-06,0.000233683,0.000000000,0.000233683,0.0000000000,0.0002336830
TRUST_CENTER,2026-07-06,1.104448821,0.000000000,1.104448821,0.0000000000,1.1044488210
WAREHOUSE_METERING,2026-07-06,73.871666635,2.486590350,76.358256985,-2.4865903500,73.8716666350
AUTO_CLUSTERING,2026-07-07,0.001721576,0.000000000,0.001721576,0.0000000000,0.0017215760
PIPE,2026-07-07,0.000000000,0.000000000,0.000000000,0.0000000000,0.0000000000
SNOWFLAKE_COCO_SNOWSIGHT,2026-07-07,0.276699420,0.000000000,0.276699420,0.0000000000,0.2766994200
